Date,msft,google,meta,tesla
19-08-2022,286.1499939,118.1200027,167.9600067,296.6666565
22-08-2022,277.75,115.0699997,163.0500031,289.9133301
23-08-2022,276.4400024,114.7699966,161.1100006,296.4533386
24-08-2022,275.7900085,114.6999969,163.2599945,297.0966797
25-08-2022,278.8500061,117.6999969,168.7799988,296.0700073
26-08-2022,268.0899963,111.3000031,161.7799988,288.0899963
29-08-2022,265.230011,110.3399963,159.1699982,284.8200073
30-08-2022,262.9700012,109.9100037,157.1600037,277.7000122
31-08-2022,261.4700012,109.1500015,162.9299927,275.6099854
01-09-2022,260.3999939,110.5500031,165.3600006,277.1600037
02-09-2022,256.0599976,108.6800003,160.3200073,270.2099915
06-09-2022,253.25,107.4800034,158.5399933,274.4200134
07-09-2022,258.0899963,110.4800034,160.3899994,283.7000122
08-09-2022,258.519989,109.4199982,162.0599976,289.2600098
09-09-2022,264.4599915,111.7799988,169.1499939,299.6799927
12-09-2022,266.6499939,111.8700027,168.9600067,304.4200134
13-09-2022,251.9900055,105.3099976,153.1300049,292.1300049
14-09-2022,252.2200012,105.8700027,151.4700012,302.6099854
15-09-2022,245.3800049,103.9000015,149.5500031,303.75
16-09-2022,244.7400055,103.6299973,146.2899933,303.3500061
19-09-2022,244.5200043,103.8499985,148.0200043,309.0700073
20-09-2022,242.4499969,101.8300018,146.0899963,308.730011
21-09-2022,238.9499969,100.0100021,142.1199951,300.7999878
22-09-2022,240.9799957,100.5699997,142.8200073,288.5899963
23-09-2022,237.9199982,99.16999817,140.4100037,275.3299866
26-09-2022,237.4499969,98.80999756,136.3699951,276.0100098
27-09-2022,236.4100037,98.08999634,134.3999939,282.9400024
28-09-2022,241.0700073,100.7399979,141.6100006,287.8099976
29-09-2022,237.5,98.08999634,136.4100037,268.2099915
30-09-2022,232.8999939,96.15000153,135.6799927,265.25
03-10-2022,240.7400055,99.30000305,138.6100006,242.3999939
04-10-2022,248.8800049,102.4100037,140.2799988,249.4400024
05-10-2022,249.1999969,102.2200012,138.9799957,240.8099976
06-10-2022,246.7899933,102.2399979,139.0700073,238.1300049
07-10-2022,234.2400055,99.56999969,133.4499969,223.0700073
10-10-2022,229.25,98.70999908,133.7899933,222.9600067
11-10-2022,225.4100037,98.05000305,128.5399933,216.5
12-10-2022,225.75,98.30000305,127.5,217.2400055
13-10-2022,234.2400055,99.70999908,130.2899933,221.7200012
14-10-2022,228.5599976,97.18000031,126.7600021,204.9900055
17-10-2022,237.5299988,100.7799988,134.0399933,219.3500061
18-10-2022,238.5,101.3899994,132.8000031,220.1900024
19-10-2022,236.4799957,100.2900009,133.2299957,222.0399933
20-10-2022,236.1499939,100.5299988,131.5299988,207.2799988
21-10-2022,242.1199951,101.4800034,130.0099945,214.4400024
24-10-2022,247.25,102.9700012,129.7200012,211.25
25-10-2022,250.6600037,104.9300003,137.5099945,222.4199982
26-10-2022,231.3200073,94.81999969,129.8200073,224.6399994
27-10-2022,226.75,92.59999847,97.94000244,225.0899963
28-10-2022,235.8699951,96.58000183,99.19999695,228.5200043
31-10-2022,232.1300049,94.66000366,93.16000366,227.5399933
01-11-2022,228.1699982,90.5,95.19999695,227.8200073
02-11-2022,220.1000061,87.06999969,90.54000092,214.9799957
03-11-2022,214.25,83.48999786,88.91000366,215.3099976
04-11-2022,221.3899994,86.69999695,90.79000092,207.4700012
07-11-2022,227.8699951,88.65000153,96.72000122,197.0800018
08-11-2022,228.8699951,88.91000366,96.47000122,191.3000031
09-11-2022,224.5099945,87.40000153,101.4700012,177.5899963
10-11-2022,242.9799957,94.16999817,111.8700027,190.7200012
11-11-2022,247.1100006,96.73000336,113.0199966,195.9700012
14-11-2022,241.5500031,96.02999878,114.2200012,190.9499969
15-11-2022,241.9700012,98.72000122,117.0800018,194.4199982
16-11-2022,241.7299957,98.98999786,113.2300034,186.9199982
17-11-2022,241.6799927,98.5,111.4499969,183.1699982
18-11-2022,241.2200012,97.80000305,112.0500031,180.1900024
21-11-2022,242.0500031,95.83000183,109.8600006,167.8699951
22-11-2022,245.0299988,97.33000183,111.4400024,169.9100037
23-11-2022,247.5800018,98.81999969,112.2399979,183.1999969
25-11-2022,247.4900055,97.59999847,111.4100037,182.8600006
28-11-2022,241.7599945,96.25,108.7799988,182.9199982
29-11-2022,240.3300018,95.44000244,109.4599991,180.8300018
30-11-2022,255.1399994,101.4499969,118.0999985,194.6999969
01-12-2022,254.6900024,101.2799988,120.4400024,194.6999969
02-12-2022,255.0200043,100.8300018,123.4899979,194.8600006
05-12-2022,250.1999969,99.87000275,122.4300003,182.4499969
06-12-2022,245.1199951,97.30999756,114.1200027,179.8200073
07-12-2022,244.3699951,95.15000153,113.9300003,174.0399933
08-12-2022,247.3999939,93.94999695,115.3300018,173.4400024
09-12-2022,245.4199982,93.06999969,115.9000015,179.0500031
12-12-2022,252.5099945,93.55999756,114.7099991,167.8200073
13-12-2022,256.9200134,95.84999847,120.1500015,160.9499969
14-12-2022,257.2200012,95.30999756,121.5899963,156.8000031
15-12-2022,249.0099945,91.19999695,116.1500015,157.6699982
16-12-2022,244.6900024,90.86000061,119.4300003,150.2299957
19-12-2022,240.4499969,89.15000153,114.4800034,149.8699951
20-12-2022,241.8000031,89.62999725,117.0899963,137.8000031
21-12-2022,244.4299927,90.25,119.7600021,137.5700073
22-12-2022,238.1900024,88.26000214,117.1200027,125.3499985
23-12-2022,238.7299957,89.80999756,118.0400009,123.1500015
27-12-2022,236.9600067,87.93000031,116.8799973,109.0999985
28-12-2022,234.5299988,86.45999908,115.6200027,112.7099991
29-12-2022,241.0099945,88.94999695,120.2600021,121.8199997
30-12-2022,239.8200073,88.73000336,120.3399963,123.1800003
03-01-2023,239.5800018,89.69999695,124.7399979,108.0999985
04-01-2023,229.1000061,88.70999908,127.3700027,113.6399994
05-01-2023,222.3099976,86.76999664,126.9400024,110.3399963
06-01-2023,224.9299927,88.16000366,130.0200043,113.0599976
09-01-2023,227.1199951,88.80000305,129.4700012,119.7699966
10-01-2023,228.8500061,89.23999786,132.9900055,118.8499985
11-01-2023,235.7700043,92.26000214,132.8899994,123.2200012
12-01-2023,238.5099945,91.91000366,136.7100067,123.5599976
13-01-2023,239.2299957,92.80000305,136.9799957,122.4000015
17-01-2023,240.3500061,92.16000366,135.3600006,131.4900055
18-01-2023,235.8099976,91.77999878,133.0200043,128.7799988
19-01-2023,231.9299927,93.91000366,136.1499939,127.1699982
20-01-2023,240.2200012,99.27999878,139.3699951,133.4199982
23-01-2023,242.5800018,101.2099991,143.2700043,143.75
24-01-2023,242.0399933,99.20999908,143.1399994,143.8899994
25-01-2023,240.6100006,96.73000336,141.5,144.4299927
26-01-2023,248,99.16000366,147.3000031,160.2700043
27-01-2023,248.1600037,100.7099991,151.7400055,177.8999939
30-01-2023,242.7100067,97.94999695,147.0599976,166.6600037
31-01-2023,247.8099976,99.87000275,148.9700012,173.2200012
01-02-2023,252.75,101.4300003,153.1199951,181.4100037
02-02-2023,264.6000061,108.8000031,188.7700043,188.2700043
03-02-2023,258.3500061,105.2200012,186.5299988,189.9799957
06-02-2023,256.769989,103.4700012,186.0599976,194.7599945
07-02-2023,267.5599976,108.0400009,191.6199951,196.8099976
08-02-2023,266.730011,100,183.4299927,201.2899933
09-02-2023,263.6199951,95.45999908,177.9199982,207.3200073
10-02-2023,263.1000061,94.86000061,174.1499939,196.8899994
13-02-2023,271.3200073,95,179.4299927,194.6399994
14-02-2023,272.1700134,94.94999695,179.4799957,209.25
15-02-2023,269.3200073,97.09999847,177.1600037,214.2400055
16-02-2023,262.1499939,95.77999878,172.4400024,202.0399933
17-02-2023,258.0599976,94.58999634,172.8800049,208.3099976
