Date,GOOGLE,META,TESLA,MSFT
2025-09-02,204.41095,749.41974,346.13617,497.1651
2025-09-03,205.41281,747.44025,343.15582,497.8533
2025-09-04,207.47151,745.4414,339.4675,497.9624
2025-09-05,210.17133,743.99207,336.85294,498.2692
2025-09-08,213.26553,743.1426,337.79633,495.6777
2025-09-09,216.34096,742.7466,339.8329,492.93134
2025-09-10,219.54498,743.2223,342.32736,490.70398
2025-09-11,222.58443,743.7106,344.81973,489.68588
2025-09-12,225.38507,744.14417,351.10632,489.68945
2025-09-15,227.87593,744.69183,364.08337,492.21967
2025-09-16,230.63542,745.6482,381.67154,496.6839
2025-09-17,233.3576,747.40924,401.1617,499.71085
2025-09-18,235.78116,749.5024,418.74466,501.51312
2025-09-19,238.00195,751.909,429.34714,501.8102
2025-09-22,240.11884,754.3293,435.27054,503.27945
2025-09-23,241.88095,756.10626,438.4761,504.07993
2025-09-24,243.26733,756.9611,437.03894,503.1513
2025-09-25,244.04276,757.34595,436.56357,501.7212
2025-09-26,244.30249,756.9105,431.99667,499.61392
2025-09-29,244.25534,755.73895,429.61252,498.63522
2025-09-30,243.84717,754.1091,429.39423,499.14917
2025-10-01,243.19556,751.8866,430.81674,501.09482
2025-10-02,242.56125,748.68915,436.27524,503.7546
2025-10-03,242.04144,745.3796,437.7675,505.29398
2025-10-06,241.63857,741.4804,435.4385,506.2754
2025-10-07,241.65393,737.59,436.6392,509.20435
2025-10-08,241.66782,733.7853,435.1303,511.30228
2025-10-09,241.58319,730.42505,433.78693,512.674
2025-10-10,241.2398,728.1694,432.16165,512.7182
2025-10-13,240.46413,725.6354,425.93918,509.457
2025-10-14,239.90411,723.4667,423.4017,505.9915
2025-10-15,239.61139,721.34015,422.08008,503.06525
2025-10-16,239.85469,719.7047,423.23642,501.11154
2025-10-17,240.43613,718.25,424.338,499.7926
2025-10-20,241.31438,717.18616,427.67413,499.65598
2025-10-21,242.5177,717.0517,433.52005,500.95975
2025-10-22,243.49341,717.5999,438.63138,502.96915
2025-10-23,244.32932,718.598,441.47745,505.5754
2025-10-24,245.08437,719.8726,444.59598,507.8845
2025-10-27,246.14975,721.4412,443.65393,510.16354
2025-10-28,247.91571,723.6297,444.66537,513.59766
2025-10-29,249.91484,726.1543,448.23828,519.08606
2025-10-30,252.34348,728.79675,452.6939,524.0474
2025-10-31,255.28319,727.92773,451.79614,523.82166
2025-11-03,258.33417,723.9576,451.6532,519.1774
2025-11-04,261.38263,717.5571,454.45352,513.11774
2025-11-05,263.83548,709.3589,452.80377,507.0784
2025-11-06,266.14886,700.68585,452.9892,500.91757
2025-11-07,268.23517,691.41956,450.38998,494.0787
2025-11-10,269.68628,682.3339,443.0827,488.6294
2025-11-11,271.30762,674.2294,438.1071,487.32785
2025-11-12,272.98257,667.00507,434.21368,489.2562
2025-11-13,274.31717,659.99365,429.89276,493.20587
2025-11-14,274.83807,653.48865,420.1015,495.7209
2025-11-17,274.68054,647.59796,409.8928,498.54758
2025-11-18,274.6317,642.0843,402.59198,500.21414
2025-11-19,274.6105,636.8943,397.01254,497.82922
2025-11-20,275.11386,631.8444,394.42758,492.4528
2025-11-21,275.7278,627.05963,392.52203,484.83304
2025-11-24,276.97302,622.8741,390.79865,476.44644
2025-11-25,279.67343,620.06635,395.40698,469.99368
2025-11-26,283.4082,619.29767,403.37564,466.695
2025-11-28,287.32886,619.8681,413.5205,467.74457
